DateTime,Time,Currency,Importance,Event,Actual,Forecast,Previous
2016/01/05 14:30:00,14:30,USD,Low,Domestic Truck Sales (Dec),8.34M,8.55M,8.72M
2016/01/05 17:00:00,17:00,USD,Low,All Car Sales,7.40M,,7.81M
2016/01/05 17:00:00,17:00,USD,Low,Domestic Car Sales,5.51M,,5.71M
2016/01/05 17:00:00,17:00,USD,Low,Total Vehicle Sales,17.34M,18.10M,18.19M
2016/01/05 17:00:00,17:00,KRW,Low,FX Reserves - USD (Dec),367.96B,,368.46B
2016/01/05 17:35:00,17:35,USD,Medium,API Weekly Crude Oil Stock,-5.600M,2.750M,2.900M
2016/01/05 17:35:00,17:35,USD,Low,API Weekly Distillates Stocks,5.600M,,1.700M
2016/01/05 17:35:00,17:35,USD,Low,API Weekly Gasoline Stock,7.100M,,-3.200M
2016/01/05 18:30:00,18:30,AUD,Low,AIG Services Index (Dec),46.3,,48.2
2016/01/05 20:01:00,20:01,GBP,Low,BRC Shop Price Index (YoY),-2.0%,,-2.1%
2016/01/06 03:45:00,03:45,EUR,Low,French Consumer Confidence (Dec),96,95,96
2016/01/06 06:00:00,06:00,EUR,Low,PPI (YoY) (Dec),-3.2%,-3.1%,-3.2%
2016/01/06 06:00:00,06:00,EUR,Low,PPI (MoM) (Dec),-0.2%,-0.2%,-0.3%
2016/01/06 06:35:00,06:35,EUR,Low,German 2-Year Schatz Auction,-0.380%,,-0.320%
2016/01/06 08:00:00,08:00,USD,Low,MBA 30-Year Mortgage Rate,4.20%,,4.16%
2016/01/06 08:00:00,08:00,USD,Low,MBA Mortgage Applications (WoW),-11.6%,,7.3%
2016/01/06 08:00:00,08:00,USD,Low,MBA Purchase Index,196.2,,230.8
2016/01/06 08:00:00,08:00,USD,Low,Mortgage Market Index,328.6,,450.0
2016/01/06 08:00:00,08:00,USD,Low,Mortgage Refinance Index,"1,114.8",,"1,764.0"
2016/01/06 09:15:00,09:15,USD,High,ADP Nonfarm Employment Change (Dec),257K,192K,211K
2016/01/06 09:30:00,09:30,USD,Medium,Trade Balance (Nov),-42.37B,-44.00B,-44.58B
2016/01/06 09:30:00,09:30,CAD,Low,Exports (Nov),43.25B,,43.09B
2016/01/06 09:30:00,09:30,CAD,Low,Imports (Nov),45.24B,,45.58B
2016/01/06 09:30:00,09:30,CAD,Medium,Trade Balance (Nov),-1.99B,-2.60B,-2.49B
2016/01/06 10:30:00,10:30,BRL,Low,Foreign Exchange Flows,-2.15B,,0.81B
2016/01/06 11:00:00,11:00,USD,Medium,Factory Orders (MoM) (Nov),-0.2%,-0.2%,1.3%
2016/01/06 11:00:00,11:00,USD,Low,Factory orders ex transportation (MoM) (Nov),-0.3%,,0.1%
2016/01/06 11:00:00,11:00,USD,Low,ISM Non-Manufacturing Business Activity (Dec),58.7,58.4,58.2
2016/01/06 11:00:00,11:00,USD,Medium,ISM Non-Manufacturing Employment (Dec),55.7,,55.0
2016/01/06 11:00:00,11:00,USD,Low,ISM Non-Manufacturing New Orders (Dec),58.2,,57.5
2016/01/06 11:00:00,11:00,USD,High,ISM Non-Manufacturing PMI (Dec),55.3,56.0,55.9
2016/01/06 11:00:00,11:00,USD,High,ISM Non-Manufacturing Prices (Dec),49.7,,50.3
2016/01/06 11:30:00,11:30,USD,High,Crude Oil Inventories,-5.085M,0.439M,2.629M
2016/01/06 11:30:00,11:30,USD,Low,EIA Weekly Distillates Stocks,6.308M,2.027M,1.795M
2016/01/06 11:30:00,11:30,USD,Low,Gasoline Inventories,10.576M,2.308M,0.925M
2016/01/06 15:00:00,15:00,USD,High,FOMC Meeting Minutes,,,
2016/01/06 16:30:00,16:30,USD,Medium,Fed's Balance Sheet,"4,486.61B",,"4,486.59B"
2016/01/06 19:50:00,19:50,JPY,Low,Foreign Bonds Buying,85.9B,,147.2B
2016/01/06 19:50:00,19:50,JPY,Low,Foreign Investments in Japanese Stocks,135.7B,,-226.2B
2016/01/06 20:00:00,20:00,SGD,Low,GDP (QoQ) (Q4),5.7%,2.1%,1.9%
2016/01/06 20:30:00,20:30,AUD,Medium,Building Approvals (MoM) (Nov),-12.7%,-3.0%,3.3%
2016/01/06 20:30:00,20:30,AUD,Low,Exports (MoM) (Nov),1%,,-3%
2016/01/06 20:30:00,20:30,AUD,Low,Imports (MoM) (Nov),-1%,,0%
2016/01/06 20:30:00,20:30,AUD,Low,Private House Approvals (Nov),-0.5%,,-2.0%
2016/01/06 20:30:00,20:30,AUD,Medium,Trade Balance (Nov),-2.906B,-3.100B,-3.247B
2016/01/06 23:45:00,23:45,JPY,Low,30-Year JGB Auction,1.224%,,1.397%
2016/01/07 03:00:00,03:00,EUR,Medium,German Factory Orders (MoM) (Nov),1.5%,0.1%,1.7%
2016/01/07 03:00:00,03:00,EUR,Medium,German Retail Sales (MoM) (Nov),0.2%,0.5%,-0.1%
2016/01/07 03:00:00,03:00,EUR,Low,German Retail Sales (YoY) (Nov),2.3%,2.4%,2.5%
2016/01/07 03:00:00,03:00,BRL,Medium,IPC-Fipe Inflation Index (MoM) (Dec),0.82%,0.90%,1.06%
2016/01/07 04:00:00,04:00,GBP,Medium,Halifax House Price Index (YoY) (Dec),9.5%,9.0%,9.0%
2016/01/07 04:00:00,04:00,GBP,Medium,Halifax House Price Index (MoM) (Dec),1.7%,0.5%,0.0%
2016/01/07 04:30:00,04:30,HKD,Low,Foreign Reserves (USD) (Dec),358.80B,,355.80B
2016/01/07 05:00:00,05:00,EUR,Low,Italian Monthly Unemployment Rate (Nov),11.3%,11.5%,11.5%
2016/01/07 05:00:00,05:00,SGD,Low,Foreign Reserves USD (MoM) (Dec),247.7B,,247.1B
2016/01/07 05:30:00,05:30,ZAR,Low,Business Confidence (Dec),79.6,,82.7
2016/01/07 06:00:00,06:00,EUR,Low,French 10-Year OAT Auction,0.86%,,0.95%
2016/01/07 06:00:00,06:00,EUR,Low,French 15-Year OAT Auction,1.44%,,1.49%
2016/01/07 06:00:00,06:00,BRL,Low,IGP-DI Inflation Index (MoM) (Dec),0.44%,0.43%,1.19%
2016/01/07 06:00:00,06:00,EUR,Low,Business and Consumer Survey (Dec),106.8,106.1,106.1
2016/01/07 06:00:00,06:00,EUR,Low,Business Climate (Dec),0.4,0.4,0.4
2016/01/07 06:00:00,06:00,EUR,Low,Consumer Confidence (Dec),-6.0,-6.0,-5.9
2016/01/07 06:00:00,06:00,EUR,Low,Consumer Inflation Expectation (Dec),3.6,,3.7
2016/01/07 06:00:00,06:00,EUR,Low,Selling Price Expectations (Dec),-3.0,,-0.7
2016/01/07 06:00:00,06:00,EUR,Low,Services Sentiment (Dec),13.0,13.0,12.8
2016/01/07 06:00:00,06:00,EUR,Low,Industrial Sentiment (Dec),-2.0,-3.0,-3.2
2016/01/07 06:00:00,06:00,EUR,Low,Retail Sales (YoY) (Nov),1.4%,2.0%,2.4%
2016/01/07 06:00:00,06:00,EUR,Low,Retail Sales (MoM) (Nov),-0.3%,0.2%,-0.2%
2016/01/07 06:00:00,06:00,EUR,Medium,Unemployment Rate (Dec),10.5%,10.7%,10.6%
2016/01/07 06:30:00,06:30,EUR,Low,Spanish Business Confidence,2.4,,-2.7
2016/01/07 07:00:00,07:00,BRL,Low,Industrial Production (MoM) (Nov),-2.4%,-1.0%,-0.6%
2016/01/07 07:00:00,07:00,BRL,Medium,Industrial Production (YoY) (Nov),-12.4%,-10.3%,-11.1%
2016/01/07 08:30:00,08:30,USD,Low,Challenger Job Cuts (Dec),23.6K,,31.0K
2016/01/07 08:30:00,08:30,USD,Low,Challenger Job Cuts (YoY),-27.6%,,-13.9%
2016/01/07 08:30:00,08:30,BRL,Low,Auto Production (MoM) (Dec),-18.4%,,-14.2%
2016/01/07 08:30:00,08:30,BRL,Low,Auto Sales (MoM) (Dec),16.7%,,1.6%
2016/01/07 09:10:00,09:10,CAD,Medium,BoC Gov Poloz Speaks,,,
2016/01/07 09:12:00,09:12,ZAR,Low,Total Vehicle Sales (Dec),49.25K,,51.26K
2016/01/07 09:12:00,09:12,ZAR,Low,Total Vehicle Sales (YoY) (Dec),-4.20%,,0.40%
2016/01/07 09:30:00,09:30,USD,Medium,Continuing Jobless Claims,"2,230K","2,193K","2,205K"
2016/01/07 09:30:00,09:30,USD,High,Initial Jobless Claims,277K,275K,287K
2016/01/07 09:30:00,09:30,USD,Low,Jobless Claims 4-Week Avg.,275.75K,,277.00K
2016/01/07 10:50:00,10:50,USD,Low,Bloomberg Consumer Confidence,44.2,,43.6
2016/01/07 11:00:00,11:00,CAD,Low,Ivey PMI n.s.a (Dec),42.5,,57.9
2016/01/07 11:00:00,11:00,CAD,Medium,Ivey PMI (Dec),49.9,56.7,63.6
2016/01/07 11:30:00,11:30,USD,Low,Natural Gas Storage,-113B,-99B,-58B
2016/01/07 17:15:00,17:15,USD,Low,Chicago Fed President Evans Speaks,,,
2016/01/07 18:30:00,18:30,AUD,Low,AIG Construction Index (Dec),46.8,,50.7
2016/01/07 19:50:00,19:50,JPY,Low,Foreign Reserves (USD) (Dec),"1,233.2B",,"1,233.0B"
2016/01/07 20:30:00,20:30,AUD,Medium,Retail Sales (MoM) (Nov),0.4%,0.4%,0.6%
2016/01/07 21:30:00,21:30,JPY,Low,Average Cash Earnings (YoY),0.0%,0.7%,0.7%
2016/01/07 21:30:00,21:30,JPY,Low,Overtime Pay (YoY) (Nov),1.10%,,1.20%
2016/01/08 01:00:00,01:00,JPY,Low,Coincident Indicator (MoM) (Nov),-1.7%,,2.0%
2016/01/08 01:00:00,01:00,JPY,Low,Leading Index (MoM) (Nov),-0.3%,,1.3%
2016/01/08 01:00:00,01:00,JPY,Low,Leading Index,103.9,103.9,104.2
2016/01/08 02:00:00,02:00,ZAR,Low,Foreign Reserves (USD) (Dec),45.79B,44.68B,45.14B
2016/01/08 02:00:00,02:00,ZAR,Low,Net FX Reserves (USD) (Dec),40.650B,40.690B,40.471B
2016/01/08 02:45:00,02:45,CHF,Low,Unemployment Rate n.s.a. (Dec),3.7%,3.7%,3.4%
2016/01/08 02:45:00,02:45,CHF,Low,Unemployment Rate s.a. (Dec),3.4%,3.4%,3.4%
2016/01/08 03:00:00,03:00,EUR,Low,German Exports (MoM) (Nov),0.4%,0.7%,-1.3%
2016/01/08 03:00:00,03:00,EUR,Low,German Imports (MoM) (Nov),1.6%,1.0%,-3.2%
2016/01/08 03:00:00,03:00,EUR,Medium,German Industrial Production (MoM) (Nov),-0.3%,0.5%,0.5%
2016/01/08 03:00:00,03:00,EUR,Medium,German Trade Balance (Nov),19.7B,20.0B,20.5B
2016/01/08 03:45:00,03:45,EUR,Low,French Exports (Nov),38.4B,,37.3B
2016/01/08 03:45:00,03:45,EUR,Low,French Imports (Nov),43.0B,,42.2B
2016/01/08 03:45:00,03:45,EUR,Low,French Industrial Production (MoM) (Nov),-0.9%,-0.4%,0.7%
2016/01/08 03:45:00,03:45,EUR,Low,French Trade Balance (Nov),-4.6B,-4.0B,-4.9B
2016/01/08 04:15:00,04:15,CHF,Low,CPI (YoY) (Dec),-1.3%,-1.2%,-1.4%
2016/01/08 04:15:00,04:15,CHF,Medium,CPI (MoM) (Dec),-0.4%,-0.3%,-0.1%
2016/01/08 05:00:00,05:00,EUR,Low,Italian Public Deficit (Q3),2.4%,,0.9%
2016/01/08 05:30:00,05:30,GBP,Medium,Trade Balance (Nov),-10.64B,-10.50B,-11.20B
2016/01/08 05:30:00,05:30,GBP,Medium,Trade Balance Non-EU (Nov),-2.45B,-3.00B,-3.55B
2016/01/08 07:00:00,07:00,BRL,Low,CPI (MoM) (Dec),0.96%,1.05%,1.01%
2016/01/08 07:00:00,07:00,BRL,Medium,CPI (YoY) (Dec),10.67%,10.77%,10.48%
2016/01/08 07:30:00,07:30,INR,Low,Bank Loan Growth (2wk),11.1%,,11.0%
2016/01/08 07:30:00,07:30,INR,Low,Deposit Growth (2wk),10.9%,,11.5%
2016/01/08 07:30:00,07:30,INR,Low,"FX Reserves, USD",350.37B,,
2016/01/08 09:30:00,09:30,USD,High,Average Hourly Earnings (MoM) (Dec),0.0%,0.2%,0.2%
2016/01/08 09:30:00,09:30,USD,Low,Average Weekly Hours (Dec),34.5,34.5,34.5
2016/01/08 09:30:00,09:30,USD,Low,Government Payrolls (Dec),17.0K,,12.0K
2016/01/08 09:30:00,09:30,USD,Low,Manufacturing Payrolls (Dec),8.0K,-1.0K,2.0K
2016/01/08 09:30:00,09:30,USD,High,Nonfarm Payrolls (Dec),292K,200K,252K
2016/01/08 09:30:00,09:30,USD,Medium,Participation Rate (Dec),62.6%,,62.5%
2016/01/08 09:30:00,09:30,USD,Medium,Private Nonfarm Payrolls (Dec),275K,195K,240K
2016/01/08 09:30:00,09:30,USD,Medium,U6 Unemployment Rate (Dec),9.9%,,9.9%
2016/01/08 09:30:00,09:30,USD,High,Unemployment Rate (Dec),5.0%,5.0%,5.0%
2016/01/08 09:30:00,09:30,CAD,Medium,Building Permits (MoM) (Nov),-19.6%,-3.0%,9.9%
2016/01/08 09:30:00,09:30,CAD,Medium,Employment Change (Dec),22.8K,10.0K,-35.7K
2016/01/08 09:30:00,09:30,CAD,Low,Full Employment Change (Dec),-6.4K,,36.6K
2016/01/08 09:30:00,09:30,CAD,Low,Part Time Employment Change (Dec),29.2K,,-72.3K
2016/01/08 09:30:00,09:30,CAD,Low,Participation Rate (Dec),65.9%,65.8%,65.8%
2016/01/08 09:30:00,09:30,CAD,Medium,Unemployment Rate (Dec),7.1%,7.1%,7.1%
2016/01/08 11:00:00,11:00,USD,Low,Wholesale Inventories (MoM) (Nov),-0.3%,-0.1%,-0.3%
2016/01/08 14:00:00,14:00,USD,Medium,U.S. Baker Hughes Oil Rig Count,516,,536
2016/01/08 16:00:00,16:00,USD,Medium,Consumer Credit (Nov),13.95B,18.25B,15.61B
2016/01/08 16:30:00,16:30,GBP,Medium,CFTC GBP speculative net positions,-30.5K,,-31.0K
2016/01/08 16:30:00,16:30,USD,Low,CFTC Copper speculative net positions,-31.8K,,-30.1K
2016/01/08 16:30:00,16:30,USD,Medium,CFTC Crude Oil speculative net positions,184.2K,,196.4K
2016/01/08 16:30:00,16:30,USD,Medium,CFTC Gold speculative net positions,26.6K,,19.1K
2016/01/08 16:30:00,16:30,USD,Medium,CFTC S&P 500 speculative net positions,-104.2K,,-97.2K
2016/01/08 16:30:00,16:30,USD,Low,CFTC Silver speculative net positions,21.6K,,20.7K
2016/01/08 16:30:00,16:30,CAD,Low,CFTC CAD speculative net positions,-60.1K,,-60.8K
2016/01/08 16:30:00,16:30,CHF,Low,CFTC CHF speculative net positions,3.6K,,3.6K
2016/01/08 16:30:00,16:30,AUD,Medium,CFTC AUD speculative net positions,-13.8K,,-17.5K
2016/01/08 16:30:00,16:30,JPY,Medium,CFTC JPY speculative net positions,4.1K,,-17.2K
2016/01/08 16:30:00,16:30,NZD,Low,CFTC NZD speculative net positions,1.6K,,-0.1K
2016/01/08 16:30:00,16:30,RUB,Medium,CFTC RUB speculative positions,-0.5K,,-0.8K
2016/01/08 16:30:00,16:30,EUR,Medium,CFTC EUR speculative net positions,-160.6K,,-160.6K
2016/01/08 21:30:00,21:30,CNY,Medium,CPI (MoM) (Dec),0.5%,0.4%,0.0%
2016/01/08 21:30:00,21:30,CNY,Medium,CPI (YoY) (Dec),1.6%,1.6%,1.5%
2016/01/08 21:30:00,21:30,CNY,Medium,PPI (YoY) (Dec),-5.9%,-5.8%,-5.9%
2016/01/10 05:30:00,05:30,GBP,Low,Construction Output (MoM) (Nov),-0.90%,,0.50%
2016/01/10 05:30:00,05:30,GBP,Low,U.K. Construction Output (YoY) (Nov),1.10%,,4.00%
2016/01/10 17:45:00,17:45,NZD,Low,Building Consents (MoM) (Nov),1.8%,3.8%,5.1%
2016/01/10 20:30:00,20:30,AUD,Low,ANZ Internet Job Ads (MoM),-0.1%,,1.4%
2016/01/10 20:30:00,20:30,AUD,Low,ANZ Job Advertisements (MoM),-0.1%,,1.1%
2016/01/10 20:30:00,20:30,AUD,Low,ANZ Newspaper Job Ads (MoM),-1.2%,,-4.3%
2016/01/11 03:30:00,03:30,GBP,Medium,Investing.com GBP/USD Index,45.6%,,43.5%
2016/01/11 03:30:00,03:30,USD,Medium,Investing.com Gold Index,53.9%,,53.1%
2016/01/11 03:30:00,03:30,CAD,Medium,Investing.com USD/CAD Index,45.8%,,51.8%
2016/01/11 03:30:00,03:30,CHF,Medium,Investing.com USD/CHF Index,48.6%,,48.0%
2016/01/11 03:30:00,03:30,AUD,Medium,Investing.com AUD/USD Index,44.7%,,39.9%
2016/01/11 03:30:00,03:30,JPY,Medium,Investing.com USD/JPY Index,45.6%,,50.0%
2016/01/11 03:30:00,03:30,NZD,Medium,Investing.com NZD/USD Index,41.6%,,36.9%
2016/01/11 03:30:00,03:30,EUR,Medium,Investing.com EUR/USD Index,27.2%,,30.0%
2016/01/11 04:00:00,04:00,EUR,Low,Spanish Industrial Production (YoY) (Nov),4.2%,3.8%,4.1%
2016/01/11 04:15:00,04:15,CHF,Low,Retail Sales (YoY),-3.1%,0.3%,-0.6%
2016/01/11 05:30:00,05:30,EUR,Low,Sentix Investor Confidence (Jan),9.6,12.2,15.7
2016/01/11 06:35:00,06:35,EUR,Low,German 6-Month Bubill Auction,-0.436%,,-0.291%
2016/01/11 09:15:00,09:15,CAD,Medium,Housing Starts (Dec),173.0K,200.0K,212.0K
2016/01/11 10:00:00,10:00,EUR,Low,French 12-Month BTF Auction,-0.377%,,-0.385%
2016/01/11 10:00:00,10:00,EUR,Low,French 3-Month BTF Auction,-0.399%,,-0.437%
